date,price in usd per troy oz,price in eur per troy oz,price in jpy per troy oz,price in gbp per troy oz,price in cad per troy oz,price in chf per troy oz
12/29/1978,226,137.1,#N/A,110.7,#N/A,#N/A
1/1/1979,226,137.1,#N/A,110.7,#N/A,#N/A
1/2/1979,226.8,137.3,"43,164.90",111.5,263.7,359.6
1/3/1979,218.6,134,"43,717.90",108,264.4,365.9
1/4/1979,223.2,136.8,"43,674.90",110.7,264.1,366.4
1/5/1979,225.5,138.4,"44,582.50",111.6,268.4,373.7
1/8/1979,223.1,136.4,"44,436.20",110.2,269.5,372.6
1/9/1979,224,137.3,"44,045.60",111,266.3,372.8
1/10/1979,220.7,135.5,"43,366.40",109.9,261.8,365.9
1/11/1979,220.7,135.9,"43,770.60",110.2,262.5,370.9
1/12/1979,217.6,134.1,"42,837.10",109,257.2,364.6
1/15/1979,216.9,133.8,"42,795.30",108.8,256.8,367.8
1/16/1979,220.7,135.6,"43,225.90",110.2,260.9,367.7
1/17/1979,227.3,139.2,"44,349.70",113.3,267.6,376.2
1/18/1979,231.8,141.7,"44,823.40",115.3,270.8,379.1
1/19/1979,230.6,141.1,"46,908.80",115.1,280.9,396.1
1/22/1979,235,144,"46,387.40",117.6,278.3,393.5
1/23/1979,230,141.1,"45,633.10",115.2,273.3,386.8
1/24/1979,236.1,144.7,"46,372.40",118.1,278.9,392.8
1/25/1979,233.9,144,"46,890.30",117.3,280.1,397.2
1/26/1979,235.5,144.6,"46,801.30",118,279.6,394.6
1/29/1979,235.2,145.3,"46,917.30",117.9,279.3,395.3
1/30/1979,233.5,144.1,"46,907.20",116.9,278.5,394.2
1/31/1979,233.7,144.8,"45,160.30",117.4,267.1,379.3
2/1/1979,229.4,142.9,"47,160.50",115.8,279.2,397.1
2/2/1979,230.3,143.5,"46,328.30",116.3,275.5,393
2/5/1979,243.1,150.3,"47,766.00",122.2,285.8,403.9
2/6/1979,244.5,150.8,"48,317.70",122.6,289.7,408.7
2/7/1979,251.6,153.7,"48,835.70",124.9,296.9,412.3
