Date, Open, High, Low, Close
04/29/21, 33855.64, 34087.21, 33744.28, 34060.36
04/28/21, 33860.46, 33946.60, 33805.56, 33820.38
04/27/21, 33932.13, 34043.98, 33870.46, 33984.93
04/26/21, 34044.23, 34148.94, 33941.37, 33981.57
04/23/21, 33804.52, 34157.57, 33713.29, 34043.49
04/22/21, 34109.88, 34126.57, 33717.19, 33815.90
04/21/21, 33808.30, 34160.34, 33773.80, 34137.31
04/20/21, 34034.18, 34034.18, 33687.01, 33821.30
04/19/21, 34182.38, 34182.38, 33980.56, 34077.63
04/16/21, 34058.16, 34256.75, 34058.16, 34200.67
04/15/21, 33788.53, 34068.73, 33788.53, 34035.99
04/14/21, 33668.95, 33911.25, 33668.95, 33730.89
04/13/21, 33721.16, 33741.64, 33545.84, 33677.27
04/12/21, 33775.06, 33786.19, 33665.54, 33745.40
04/09/21, 33526.19, 33810.87, 33526.19, 33800.60
04/08/21, 33469.89, 33506.80, 33342.64, 33503.57
04/07/21, 33444.98, 33521.76, 33347.96, 33446.26
04/06/21, 33500.02, 33544.79, 33380.43, 33430.24
04/05/21, 33222.38, 33617.95, 33222.38, 33527.19
04/01/21, 33054.58, 33167.17, 32985.35, 33153.21
03/31/21, 33116.04, 33173.77, 32980.57, 32981.55
03/30/21, 33127.88, 33170.93, 32988.92, 33066.96
03/29/21, 33087.55, 33259.00, 32905.13, 33171.37
03/26/21, 32681.07, 33098.83, 32681.07, 33072.88
03/25/21, 32346.81, 32672.69, 32071.41, 32619.48
03/24/21, 32470.88, 32787.99, 32418.15, 32420.06
03/23/21, 32691.50, 32753.77, 32356.28, 32423.15
03/22/21, 32601.82, 32810.35, 32512.53, 32731.20
03/19/21, 32858.36, 32858.36, 32505.07, 32627.97
03/18/21, 32928.16, 33227.78, 32831.25, 32862.30
03/17/21, 32825.52, 33047.58, 32782.18, 33015.37
03/16/21, 32966.75, 32966.75, 32778.23, 32825.95
03/15/21, 32798.84, 32973.40, 32629.75, 32953.46
03/12/21, 32462.40, 32793.32, 32462.40, 32778.64
03/11/21, 32354.50, 32661.59, 32345.70, 32485.59
03/10/21, 31906.96, 32389.50, 31906.96, 32297.02
03/09/21, 31892.35, 32150.32, 31822.64, 31832.74
03/08/21, 31512.15, 32148.04, 31512.15, 31802.44
03/05/21, 31029.18, 31580.33, 30766.81, 31496.30
03/04/21, 31289.01, 31461.97, 30547.53, 30924.14
03/03/21, 31352.96, 31563.31, 31260.14, 31270.09
03/02/21, 31535.37, 31623.27, 31377.16, 31391.52
03/01/21, 31065.90, 31668.34, 31065.90, 31535.51
02/26/21, 31401.29, 31450.89, 30911.37, 30932.37
02/25/21, 31955.94, 31984.77, 31293.32, 31402.01
02/24/21, 31499.75, 32009.64, 31421.29, 31961.86
02/23/21, 31501.89, 31653.38, 31158.76, 31537.35
02/22/21, 31381.12, 31653.48, 31286.57, 31521.69
02/19/21, 31504.13, 31647.53, 31469.34, 31494.32
02/18/21, 31558.60, 31558.60, 31285.32, 31493.34
02/17/21, 31485.61, 31643.70, 31338.76, 31613.02
02/16/21, 31472.08, 31608.63, 31443.48, 31522.75
02/12/21, 31420.80, 31475.31, 31347.80, 31458.40
02/11/21, 31466.49, 31543.82, 31244.36, 31430.70
02/10/21, 31428.02, 31511.44, 31221.32, 31437.80
02/09/21, 31359.88, 31439.47, 31245.86, 31375.83
02/08/21, 31191.20, 31386.10, 31191.20, 31385.76
02/05/21, 31093.81, 31252.18, 31083.22, 31148.24
02/04/21, 30737.78, 31065.96, 30737.78, 31055.86
02/03/21, 30689.65, 30793.41, 30521.31, 30723.60
